driverName,driverPhoneNumber,driverLicenseNumber,driverYearOfExperience,driverPassword,driverAvatar
Lê Ðức Chính,84072809178,659808289,3,1,none
Cao Ðức Hải,84887238174,939759181,2,1,none
Đinh Sơn Tùng,84318879920,47501058,5,1,none
Vũ Quang Triều,84235404418,266432067,4,1,none
Nguyễn Vĩnh Luân,84823000566,312958937,3,1,none
Hoàng Bá Cường,84193421864,365969384,2,1,none
Trang Quang Linh,84387511533,784525950,1,1,none
Ngư Hưng Ðạo,84697509061,767073744,5,1,none
Nguyễn Trí Hùng,84863233221,322640394,4,1,none
Nguyễn Hữu Tường,84686144048,950931832,3,1,none
